_id,createdAt,name,pollingStation,updatedAt
6028ceb6be48b504bc4f61e2,2021-02-14T07:18:14.008Z,A-I,6028a1a0be48b504bc4f60eb,2021-02-14T07:18:14.008Z
6028cebbbe48b504bc4f61e3,2021-02-14T07:18:19.664Z,J-Z,6028a1a0be48b504bc4f60eb,2021-02-14T07:18:19.664Z
6028cecabe48b504bc4f61e4,2021-02-14T07:18:34.505Z,A-B,6028a1e8be48b504bc4f60ed,2021-02-14T07:18:34.505Z
6028cecfbe48b504bc4f61e5,2021-02-14T07:18:39.730Z,C-G,6028a1e8be48b504bc4f60ed,2021-02-14T07:18:39.730Z
6028ced4be48b504bc4f61e6,2021-02-14T07:18:44.683Z,H-K,6028a1e8be48b504bc4f60ed,2021-02-14T07:18:44.683Z
6028cedabe48b504bc4f61e7,2021-02-14T07:18:50.131Z,L-O,6028a1e8be48b504bc4f60ed,2021-02-14T07:18:50.131Z
6028cedfbe48b504bc4f61e8,2021-02-14T07:18:55.858Z,P-SM,6028a1e8be48b504bc4f60ed,2021-02-14T07:18:55.858Z
6028cee5be48b504bc4f61e9,2021-02-14T07:19:01.647Z,SO-Z,6028a1e8be48b504bc4f60ed,2021-02-14T07:19:01.647Z
6028cefbbe48b504bc4f61ea,2021-02-14T07:19:23.067Z,A-C,6028a1c9be48b504bc4f60ec,2021-02-14T07:19:23.067Z
6028cf08be48b504bc4f61eb,2021-02-14T07:19:36.044Z,D-G,6028a1c9be48b504bc4f60ec,2021-02-14T07:19:36.044Z
6028cf1abe48b504bc4f61ec,2021-02-14T07:19:54.981Z,H-JOH,6028a1c9be48b504bc4f60ec,2021-02-14T07:19:54.981Z
6028cf23be48b504bc4f61ed,2021-02-14T07:20:03.268Z,JON-L,6028a1c9be48b504bc4f60ec,2021-02-14T07:20:03.268Z
